document_number,document_district,document_date,file_name,document_page_number,paragraph_number,event_date,location_text,map_coordinate,type,initiator,initiator_numbers,target,target_numbers,affected_count,government_killed,government_wounded,government_captured,rebels_killed,rebels_wounded,rebels_captured,civilians_killed,civilians_wounded,civilians_captured
41,MERU,6th October to 18th October 1955,Meru_FCO_141-5771_IMG_0251_1L,4,776/55,11.10.1955,,HAD 143099,Contact,7 KAR,,Terrorists,,,,,,3,,,,,
41,MERU,25th September 1957 to 24th October 1957,"Meru_FCO_141-5772_IMG_0593_1L , Meru_FCO_141-5772_IMG_0594_1L",,244/57,,,,Murder,Terrorist,,Terrorist,,,,,,1,,,,,
42,MERU,19th October 1955  to 08th November 1955,Meru_FCO_141-5771_IMG_0245_1L,2,798/55,,,,Contact,Government,,Gang,,,,,,15,,15,,,
42,MERU,19th October 1955  to 08th November 1955,Meru_FCO_141-5771_IMG_0245_1L,2,799/55,8.11.1955,UPPER IMENTI FOREST,,Contact,Military/Police And Meru Guard,10000,Gang,,,,,,12,,3,,,
42,MERU,19th October 1955  to 08th November 1955,Meru_FCO_141-5771_IMG_0246_1L,4,808/55,,KIONYO,HZS 0855,Theft,Terrorists,,Food,Some,,,,,,,,,,
42,MERU,19th October 1955  to 08th November 1955,Meru_FCO_141-5771_IMG_0246_1L,4,809/55,27.10.1955,MUKIMBUNE,HZS 131915,Entry,Terrorists,2,Food,,,,,,,,,,,
42,MERU,19th October 1955  to 08th November 1955,Meru_FCO_141-5771_IMG_0246_1L,4,809/55,27.10.1955,MUKIMBUNE,HZS 131915,Assualt,Terrorists,2,Civilian,,,,,,,,,,1,
42,MERU,19th October 1955  to 08th November 1955,Meru_FCO_141-5771_IMG_0247_1L,6,818/55,7/8.11.1955,MARA River area,HSS 1177,Theft,Terrorrist,,Food,,Some,,,,,,,,,
42,MERU,19th October 1955  to 08th November 1955,Meru_FCO_141-5771_IMG_0247_1L,6,819/55,26.10.1955,MUTHAMBE,,Capture,7 KAR,,Gang,,,,,,,,1,,,
42,MERU,19th October 1955  to 08th November 1955,Meru_FCO_141-5771_IMG_0247_1L,6,819/55,07.11.1955,MUTHAMBE,,Capture,Government,4,Gang,,,,,,,9,9,,,
42,MERU,19th October 1955  to 08th November 1955,Meru_FCO_141-5771_IMG_0248_1L,7,828/55,08.08.1955,UPPER IMENTI FOREST,,Contact,Military/police and Civilians,10000,Gang,,,,,,12,,3,,,
42,MERU,19th October 1955  to 08th November 1955,Meru_FCO_141-5771_IMG_0248_1L,7,830/55,09.10.1955,KIBERICHIA,,Contact,Guard,,Gang,5,,,,,,1,,,,
42,MERU,19th October 1955  to 08th November 1955,Meru_FCO_141-5771_IMG_0248_1L,7,834/55,27.10.55,ENGELBRECHT,,Contact,Government,,Terrorists,8,,,,,1,,,,,
42,MERU,25th October 1957 to 26th November 1957,Meru_FCO_141-5772_IMG_0587_1L,,248/57,,MOUNT KENYA FOREST,,Contact,Police,,Terrorists,,,,,,1,1,,,,
42,MERU,25th October 1957 to 26th November 1957,"Meru_FCO_141-5772_IMG_0590_1L , Meru_FCO_141-5772_IMG_0591_1L",,265/57,12.11.1957,RUGUTI RIVER,HZS 0864,Contact,T.P. Patrol,,Terrorists,,,,,,1,1,,,,
42,MERU,25th October 1957 to 26th November 1957,"Meru_FCO_141-5772_IMG_0590_1L , Meru_FCO_141-5772_IMG_0591_1L",,265/57,17.11.1957,MUTHENGE,HZS 145659,Capture,T.P. Patrol,,Terrorists,,,,,,,,1,,,
43,Meru,9th November 1955 to 21st November 1955,Meru_FCO_141_5771_IMG_0237_1L,2,844/55,13.11.1955,MUTHARA,HAD 3324,Capture,Government,,Terrorists,3,,,,,,,3,,,
43,Meru,9th November 1955 to 21st November 1955,Meru_FCO_141_5771_IMG_0237_1L,2,844/55,13.11.1955,MUTHARA,HAD 3324,Capture,,,Terrorists,3,,,,,,,3,,,
43,MERU,9th November 1955 to 21st November 1955,Meru_FCO_141_5771_IMG_0238_1L,4,849/55,14.11.1955,RUIRI,,Contact,T/P Patrol,,Gang,4,,,,,6,,,,,
43,MERU,9th November 1955 to 21st November 1955,Meru_FCO_141_5771_IMG_0238_1L,4,849/55,14.11.1955,MERU DISTRICT,HAB 1316,Capture,T/P Patrol,,Terrorist,,,,,,,,1,,,
43,MERU,9th November 1955 to 21st November 1955,Meru_FCO_141_5771_IMG_0238_1L,4,849/55(2),02.08.1955,,, Attack,Special Police Force,,Gang,,,,,,6,,,,,
43,MERU,9th November 1955 to 21st November 1955,Meru_FCO_141_5771_IMG_0238_1L,4,849/55(3),02.08.1955,,,Missing,Special Police Force,,Gang,,,,,,,,,,,
43,MERU,9th November 1955 to 21st November 1955,Meru_FCO_141_5771_IMG_0238_1L,4,849/55,14.11.1955,,HAB 1316,Capture,T/P Patrol,,Terrorist,,,,,,,,1,,,
43,MERU,9th November 1955 to 21st November 1955,Meru_FCO_141_5771_IMG_0239_1L,6,853/55,,,,Capture,26 KAR,,Gang,Large,Large,,,,,,Unknown,,,
43,MERU,9th November 1955 to 21st November 1955,Meru_FCO_141_5771_IMG_0239_1L,6,858/55,,,,Contact,Special Force,,Terrorists,,,,,,2,,,,,
43,MERU,9th November 1955 to 21st November 1955,Meru_FCO_141_5771_IMG_0240_1L,8,862/55,19/20.11.1955,ITHAMBE,HZS 0990,Theft,Terrorists,,Food,Some,Some,,,,,,,,,
43,MERU,9th November 1955 to 21st November 1955,Meru_FCO_141_5771_IMG_0240_1L,8,862/55,,,HZS 010860,Contact,T/P Patrol,,Terrorists,15,,,,,1,4,,,,
43,MERU,9th November 1955 to 21st November 1955,Meru_FCO_141_5771_IMG_0240_1L,8,864/55,,,,Capture,Government,,Gang,,,,,,,,14,,,
43,MERU,9th November 1955 to 21st November 1955,Meru_FCO_141_5771_IMG_0241_1L,10,872/55,20.11.1955,,HAD 1809,Entry ,Terrorist,,Civilian,,,,,,,,,,,
43,MERU,9th November 1955 to 21st November 1955,Meru_FCO_141_5771_IMG_0241_1L,10,873/55,20.11.1955,,HAD 1809,Theft,Terrorist,,Banana,Some,Some,,,,,,,,,
43,MERU,9th November 1955 to 21st November 1955,Meru_FCO_141_5771_IMG_0241_1L,10,873/55,20.11.1955,,,Contact,Government,,Terrorist,,,,,,1,,,,,
43,MERU,9th November 1955 to 21st November 1955,Meru_FCO_141_5771_IMG_0241_1L,10,873/55,,,,Contact,Government,,Terrorist,,,,,,1,,,,,
43,MERU,9th November 1955 to 21st November 1955,Meru_FCO_141_5771_IMG_0241_1L,10,873/55,,,,Theft,Terrorist,,Food,Some,Some,,,,,,,,,
43,MERU,9th November 1955 to 21st November 1955,Meru_FCO_141_5771_IMG_0241_1L,10,785/55,,UPPER IMENTI FOREST,,Capture,Government,,Terrorist,,,,,,,,1,,,
43,MERU,9th November 1955 to 21st November 1955,Meru_FCO_141_5771_IMG_0241_1L,10,786/55,17.11.1955,,HAD 125035,Contact,Government,,Terrorist,,,,,,1,,,,,
43,MERU,9th November 1955 to 21st November 1955,Meru_FCO_141_5771_IMG_0241_1L,10,787/55,19/20.11.1955,THIMBIRI,HAD 1302,Theft,Terrorist,,Food,Some,Some,,,,,,,,,
43,Meru,9th November 1955 to 21st November 1955,Meru_FCO_141-5771_IMG_0237_1L,2,843/55,,CHUKA DIVISION ,,Capture,Government,,Gang,8,,,,,,,8,,,
43,Meru,9th November 1955 to 21st November 1955,Meru_FCO_141-5771_IMG_0237_1L,2,843/55,,CHUKA,,Capture,,,Gang,8,,,,,,,8,,,
43,MERU,27th November 1957 to 27th December 1957,Meru_FCO_141-5772_IMG_0584_1L,3,275/57,23.12.1957 and 26.12.1957,,,Capture,Police,,Gang,,,,,,,,20,,,
44,MERU,22nd November 1955 to 13th December 1955,Meru_FCO_141-5771_IMG_0232_1L,2,887/55,24/30.11.1955,MOUNT KENYA FOREST,,Capture,Government,,Terrorist,,,,,,,,6,,,
44,MERU,22nd November 1955 to 13th December 1955,Meru_FCO_141-5771_IMG_0232_1L,2,888/55,,MOUNT KENYA FOREST,,Contact,Government,,Terrorists,,,,,,6,,3,,,
44,MERU,22nd November 1955 to 13th December 1955,Meru_FCO_141-5771_IMG_0232_1L,2,891/55,10.12.1955,NYAMBENIS FOREST,,Capture,Government,,Gang,,,,,,,,6,,,
44,MERU,22nd November 1955 to 13th December 1955,Meru_FCO_141-5771_IMG_0232_1L,2,887/55,24/30.11.1955,MOUNT KENYA FOREST,,Capture,,,Terrorist,,,,,,,,6,,,
44,MERU,22nd November 1955 to 13th December 1955,Meru_FCO_141-5771_IMG_0232_1L,2,891/55,10.12.1955,NYAMBENIS FOREST,,Capture,,,Gang,,,,,,,,6,,,
44,MERU,22nd November 1955 to 13th December 1955,Meru_FCO_141-5771_IMG_0233_1L,2,887/55,24/30.11.1955,MOUNT KENYA FOREST,,Contact,Military/Police and  Local Population,"70,000",Terrorists,,,,,,9,,9,,,
44,MERU,22nd November 1955 to 13th December 1955,Meru_FCO_141-5771_IMG_0234_1L,4,901/55,12.12.1955,MERU DISTRICT,HZS 135362,Contact,Police Patrol,,Terrorists,2,,,,,1,,,,,
44,MERU,22nd November 1955 to 13th December 1955,Meru_FCO_141-5771_IMG_0234_1L,4,902/55,12.12.1955,KIONYO,HZS 0886,Capture,Government,,Gang,,,,,,,,1,,,
44,MERU,22nd November 1955 to 13th December 1955,Meru_FCO_141-5771_IMG_0234_1L,4,903/55,03.12.1955,UPPER ABOTHOGUCHI,,Contact,T.P,,Terrorists,5,,,,,,,3,,,
44,MERU,22nd November 1955 to 13th December 1955,Meru_FCO_141-5771_IMG_0234_1L,4,903/55,06.09.1955,NKUENE/UPPER ABOTHOGUCHI,,Contact,Special Force,,Gang ,,,,,,1,,,,,
44,MERU,22nd November 1955 to 13th December 1955,Meru_FCO_141-5771_IMG_0234_1L,4,903/55,24.11.1955,MARIENE,HS3 1791,Capture,Government,,Terrorist,,,,,,,,1,,,
44,MERU,22nd November 1955 to 13th December 1955,Meru_FCO_141-5771_IMG_0234_1L,4,904/55,23.11.1955,MERU DISTRICT,,Capture,Government,,Gang,,,,,,,,1,,,
44,MERU,22nd November 1955 to 13th December 1955,Meru_FCO_141-5771_IMG_0234_1L,4,901/55,12.12.1955,,HZS 135362,Contact,Police Patrol,,Terrorists,2,,,,,1,,,,,
44,MERU,22nd November 1955 to 13th December 1955,Meru_FCO_141-5771_IMG_0234_1L,4,902/55,12.12.1955,KIONYO,HZS 0886,Capture,,,Gang,,,,,,,,1,,,
44,MERU,22nd November 1955 to 13th December 1955,Meru_FCO_141-5771_IMG_0234_1L,4,903/55,03.12.1955,,,Contact,T.P,,Terrorists,5,,,,,,,3,,,
44,MERU,22nd November 1955 to 13th December 1955,Meru_FCO_141-5771_IMG_0234_1L,4,903/55,06.09.1955,Forest above NKUENE/UPPER ABOTHOGUCHI,,Contact,Special Force,,Gang ,,,,,,1,,,,,
44,MERU,22nd November 1955 to 13th December 1955,Meru_FCO_141-5771_IMG_0234_1L,4,903/55,24.11.1955,MARIENE,HS3 1791,Capture,,,Terrorist,,,,,,,,1,,,
44,MERU,22nd November 1955 to 13th December 1955,Meru_FCO_141-5771_IMG_0234_1L,4,904/55,23.11.1955,,,Capture,,,Gang,,,,,,,,1,,,
44,Meru,22nd November 1955 to 13th December 1955,Meru_FCO_141-5771_IMG_0235_1L,6,914/55,29.11.1955,Stop Line,HZS 123631,Contact ,Government,,Terroists,16,,,,,1,,,,,
44,Meru,22nd November 1955 to 13th December 1955,Meru_FCO_141-5771_IMG_0235_1L,6,915/55,4.12.1955,MUTINDWA,HZS 1073,Contact,Terrorists,4,Terroists,4,,,,,2,1,,,,
44,Meru,22nd November 1955 to 13th December 1955,Meru_FCO_141-5771_IMG_0235_1L,6,919/55,,,,Theft,Terrorist,,Food,Some,,,,,,,,,,
44,Meru,22nd November 1955 to 13th December 1955,Meru_FCO_141-5771_IMG_0235_1L,6,919/55,,,,Capture,Gang,,Food,Some,,,,,,,,,,
15/1,MERU,For The Week Ending 9th December 1954,"Meru_FCO_141-5772_IMG_0434_1L , Meru_FCO_141-5772_IMG_0435_1L","2,3",1521/54,07.12.1954,LOWER NKUENE,HZS 311828,Contact,Police/Meru Guard Patrol,,Gang,,,,,,,,2,,,
,MERU,14th December 1955 to 21st December 1955,Meru_FCO_141-5771_IMG_0229_1L,2,936/55,14/18.12.1955,NYAMBENI FOREST,HAD 425233,Contact,Police Force,,Terrorists,7,,,,,,,2,,,
,MERU,14th December 1955 to 21st December 1955,Meru_FCO_141-5771_IMG_0230_1L,4,948/55,15.12.1955,MIRIGA MIERU,HAD 0806,Capture,Security Force,,Gang,,,,,,,,1,,,
,MERU,14th December 1955 to 21st December 1955,Meru_FCO_141-5771_IMG_0230_1L,4,950/55,19.12.1955,UPPER IMENTI FOREST,HAD 125137,Contact,Government,,Terrorists,3,,,,,1,,2,,,
,MERU,14th December 1955 to 21st December 1955,Meru_FCO_141-5771_IMG_0230_1L,4,952/55,21.12.1955,MERU DISTRICT,HZS 142946,Capture,Government,,Terrorist,,,,,,,,1,,,
,MERU,14th December 1955 to 21st December 1955,Meru_FCO_141-5771_IMG_0230_1L,4,952/55,21.12.1955,,HZS 142946,Capture,,,Terrorist,,,,,,,,1,,,
25,MERU ,Fortnight Ending 10th March 1955, Meru_FCO_141-5771_IMG_0373_1L,3,166/55,,NORTHERN PART OF MERU DISTRICT,,Contact,Security Forces,,Terrorist,,,,,,1,2,11,,,
25,MERU ,Fortnight Ending 10th March 1955, Meru_FCO_141-5771_IMG_0373_1L,3,166/55,,,,Contact,Security Forces,,Terrorist,,,,,,1,2,11,,,
29,Meru ,26th February 1957 to 25th March 1957,Meru_FCO_141-5772_IMG_0637_1L,,90/57,18.3.1957,,HAD 330110,Attack,Terrorists,4,Civilians,1,,,,,,,,,1,
1,NAIROBI,Week ending  26th March 1953,Nairobi_FCO_141-5791_IMG_5102_1L,,Jan-53,,NAIROBI,,Screening,Government,,Civilians,,14,,,,,,,,,
1,NAIROBI,For The Week = 23rd to 26th March 1953,Nairobi_FCO_141-5791_IMG_5104_1L,3,,26.03.1953,EASTLEIGH,,Capture,,,Terrorist,,,,,,,,1,,,
2,NAIROBI,For The Week Ending 3rd April 1953,Nairobi_FCO_141-5791_IMG_5099_1L,3,29/53,,,,Capture,Government,,Civilians,4,,,,4,,,,,,
2,NAIROBI,For The Week = 23rd to 26th March 1953,Nairobi_FCO_141-5791_IMG_5100_1L,4,Jan-53,27.03.1953,SHAURI MOYO,,Murder,Terrorist,,Government,,,1,,,,,,,,
2,NAIROBI,For The Week = 23rd to 26th March 1953,Nairobi_FCO_141-5791_IMG_5100_1L,4,Feb-53,27.03.1953,RAILWAY LANDIES,,Murder,Terrorist,,Civilian,,,,,,,,,1,,
2,NAIROBI,For The Week = 23rd to 26th March 1953,Nairobi_FCO_141-5791_IMG_5100_1L,4,Mar-53,26.03.1953,EAST-LEIGH,,Theft,Terrorist,,Arms,1,1,,,,,,,,,
2,NAIROBI,For The Week = 23rd to 26th March 1953,Nairobi_FCO_141-5791_IMG_5100_1L,4,May-53,28.03.1953,BAHATI,,Capture,Police & Military,,Terrorists,,,,,,,,4,,,
2,NAIROBI,For The Week = 23rd to 26th March 1953,Nairobi_FCO_141-5791_IMG_5100_1L,4,Jun-53,28.03.1953,MAKONGENI,,Attack,Terrorist,,Civilian,,,,,,,,,,1,
2,NAIROBI,Week ending  3rd April 1953,Nairobi_FCO_141-5791_IMG_5101_1L,,,3.4.53,KARIOKOR,,Screening,Government,,Civilians,,7000,,,,,,,,,
2,NAIROBI,For The Week = 23rd to 26th March 1953,Nairobi_FCO_141-5791_IMG_5101_1L,5,Aug-53,31.03.1953,JUTA RD,,Murder,Terrorist,,Civilian,,,,,,,,,1,,
2,NAIROBI,For The Week = 23rd to 26th March 1953,Nairobi_FCO_141-5791_IMG_5101_1L,5,Sep-53,31.03.1953,CITY PARK,,Theft,Terrorist,,Arms,,101,101,,,,,,,,
2,NAIROBI,For The Week = 23rd to 26th March 1953,Nairobi_FCO_141-5791_IMG_5101_1L,5,Oct-53,03.04.1953,KARIOKOR,,Capture,Army K.P.R & Police,,Terrorist,,,,,,,,470,,,
2,NAIROBI,For The Week Ending 26th March 1953,Nairobi_FCO_141-5791_IMG_5102_1L,1,Jan-53,,MAKONGENI,,Murder,Terrorist,,Civilian,,,,,,,,,1,,
2,NAIROBI,For The Week = 23rd to 26th March 1953,Nairobi_FCO_141-5791_IMG_5104_1L,3,,25.03.1953,NAIROBI,,Theft,Terrorist,,Arms,1,1,,,,,,,,,
2,NAIROBI,For The Week = 23rd to 26th March 1953,Nairobi_FCO_141-5791_IMG_5104_1L,3,,25.03.1953,MAGONGENI,,Murder,Terrorist,,Civilian,,,,,,,,,1,,
4,NAIROBI,For The Week Ending 16th April 1953,Nairobi_FCO_141-5791_IMG_5086_1L,1,46/53,,,,Screening,Screening Team,,Kikuyu and Embu Employees,,,,,,,,140,,,
4,NAIROBI,For The Week Ending 16th April 1953,Nairobi_FCO_141-5791_IMG_5091_1L,5,,,,,Contact,Home Guard,,Terrorists,,,,,,,1,,,,
4,NAIROBI,For The Week Ending 16th April 1953,Nairobi_FCO_141-5791_IMG_5091_1L,5,,,,,Capture,Government,,Terrorist,,,,,,,,1,,,
4,NAIROBI,For The Week Ending 16th April 1953,Nairobi_FCO_141-5791_IMG_5091_1L,5,,,,,Attack,Terrorists,,Civilian,,,,,,,,,,1,
4,NAIROBI,For The Week Ending 16th April 1953,Nairobi_FCO_141-5791_IMG_5091_1L,5,,,,,Capture,Police Constables,,Terrorists,,,,,,,,3,,,
4,NAIROBI,For The Week Ending 16th April 1953,Nairobi_FCO_141-5791_IMG_5091_1L,5,,,,,Theft,Terrorist,,Bag,1,1,,,,,,,,,
4,NAIROBI,For The Week Ending 16th April 1953,Nairobi_FCO_141-5791_IMG_5091_1L,5,,,PWD BARRIER,,Contact,Terrorists,5,Special Police,,,2,1,,,,,,,
4,NAIROBI,For The Week Ending 16th April 1953,Nairobi_FCO_141-5791_IMG_5091_1L,5,,,,,Screening,Government,,Railway Employees,,,,,,,,,,,140
4,NAIROBI,For The Week Ending 16th April 1953,Nairobi_FCO_141-5791_IMG_5091_1L,5,,,,,Screening,Government,,Taxi Drivers,,,,,,,,,,,29
6,NAIROBI,For The Week Ending 30th April 1953,Nairobi_FCO_141-5791_IMG_5079_1L,4,45/53,23.4.1953,KARIOKOR,,Capture,Government,,Terrorist,,,,,,,,2,,,
6,NAIROBI,For The Week Ending 30th April 1953,Nairobi_FCO_141-5791_IMG_5079_1L,4,45/53,23.4.1953,KARIOKOR,,Capture,Government,,Village,600,,,,,,,600,,,
6,NAIROBI,For The Week Ending 30th April 1953,Nairobi_FCO_141-5791_IMG_5079_1L,4,47/53,27.4.1953,,,Missing,Terrorists,,Arms,37,37,,,,,,,,,
6,NAIROBI,For The Week Ending 30th April 1953,Nairobi_FCO_141-5791_IMG_5079_1L,4,48/53,28.4.1953,PUMWANI,,Murder,Terrorist,2,Civilian,,,,,,,,,1,,
6,NAIROBI,For The Week Ending 30th April 1953,Nairobi_FCO_141-5791_IMG_5079_1L,4,49/53,29.4.1953,BAHATI,,Contact,S.B. Officers,,Terrorist,,,,,,1,,,,,
6,NAIROBI,For The Week Ending 30th April 1953,Nairobi_FCO_141-5791_IMG_5079_1L,4,50/53,28.4.1953,KAREN,,Contact,Civilian,2,Civilian,1,,,,,,,,1,,
6,NAIROBI,For The Week Ending 30th April 1953,Nairobi_FCO_141-5791_IMG_5079_1L,4,51/53,30.4.1953,ZIWANI,,Contact,Terrorist,,Licence Inspector for NCC,1,,1,,,,,,,,
6,NAIROBI,Week ending  16th April 1953,Nairobi_FCO_141-5791_IMG_5099_1L,3,29/53,,GOVERNMENT HOUSE,,Screening,Government,,Civilians,,4,,,,,,,,,
7,NAIROBI,During The Week Ending 7th May 1953,Nairobi_FCO_141_5791_IMG_5075_1L,5,53/53,01.05.1953,GOVT DEPT,,Screening,Government ,,Terrorists,,,,,,, ,247,,,
7,NAIROBI,During The Week Ending 7th May 1953,Nairobi_FCO_141_5791_IMG_5075_1L,5,55/53,03.05.1953,KALOLENI,,Attack,Terrorists,2,Civilian,,,,,,,,,,1,
7,NAIROBI,During The Week Ending 7th May 1953,Nairobi_FCO_141_5791_IMG_5075_1L,5,56/53,03.05.1953,KALOLENI,,Contact,Terrorists,,Civilian,1,,,,,1,,,1,,
7,NAIROBI,During The Week Ending 7th May 1953,Nairobi_FCO_141_5791_IMG_5075_1L,5,57/53,03.05.1953,PUMWANI,,Contact,Gang,,Terrorists,,,,,,,1,,,,
7,NAIROBI,During The Week Ending 7th May 1953,Nairobi_FCO_141_5791_IMG_5075_1L,5,58/53,03.05.1953,NGARA ROAD,,Attack ,Terrorists,,Civilian,1,,,,,,,,,1,
7,NAIROBI,During The Week Ending 7th May 1953,Nairobi_FCO_141_5791_IMG_5075_1L,5,59/53,04.05.1953,BAHATI,,Attack,Terrorists,,African K.P.R  askaries,2,,2,1,,,,,,,
7,NAIROBI,During The Week Ending 7th May 1953,Nairobi_FCO_141_5791_IMG_5075_1L,5,60/53,03.05.1953,KALOLENI,,Capture,Police,,Terrorists,,,,,,,,8,,,
7,NAIROBI,During The Week Ending 7th May 1953,Nairobi_FCO_141_5791_IMG_5075_1L,5,61/53,5.5.1953,KARIAKOR,,Capture,Government,,Terrorists,,,,,,,,776,,,
7,NAIROBI,During The Week Ending 7th May 1953,Nairobi_FCO_141_5791_IMG_5075_1L,5,62/53,6.5.1953,MUKURU,,Assault,Terrorists,,African Constable,,,1,,,,,,,,
7,NAIROBI,During The Week Ending 7th May 1953,Nairobi_FCO_141_5791_IMG_5075_1L,5,63/53,07.05.1953,EASTLEIGH,,Murder,Sikh,,Somali,1,,,,,,,,1,,
7,NAIROBI,During The Week Ending 7th May 1953,Nairobi_FCO_141_5791_IMG_5075_1L,5,63/53,07.05.1953,EASTLEIGH,,Capture,,,Indian ,4,,,,,,,4,,,
7,NAIROBI,Week ending  7th May 1953,Nairobi_FCO_141-5791_IMG_5071_1L,,,1.5.53,GOVT DEPT,,Screening,Government,,Civilians,,247,,,,,,,,,
10,NAIROBI,During The Week Ending 21st May 1953,Nairobi_FCO_141_5791_IMG_5066_1L,3,70/53,15.05.1953,PUMWANI,,Contact,Terrorist,,Kikuyu,1,,,,,,,,1,,
10,NAIROBI,During The Week Ending 21st May 1953,Nairobi_FCO_141_5791_IMG_5066_1L,3,71/53,15.05.1953,EASTLEIGH SECTION 7,,Capture ,Police,,Terrorists,,,,,,,,30,,,
10,NAIROBI,During The Week Ending 21st May 1953,Nairobi_FCO_141_5791_IMG_5066_1L,3,72/53,14.05.1953,KARIOKOR,,Murder,Terrorist,,African Special Constable,,,1,,,1,,,,,
10,NAIROBI,During The Week Ending 21st May 1953,Nairobi_FCO_141_5791_IMG_5066_1L,3,75/53,16.05.1953,BURU BURU,,Capture,"""D"" Force",,Terrorist,1,,,,,,1,1,,,
10,NAIROBI,During The Week Ending 21st May 1953,Nairobi_FCO_141_5791_IMG_5066_1L,3,78/53,20.05.1953,PUMWANI,,Attack,Terrorists,,Civilians,,,,,,,,,,1,
10,NAIROBI,During The Week Ending 21st May 1953,Nairobi_FCO_141_5791_IMG_5066_1L,3,79/53,20.05.1953,PUMWANI,,Contact,Gang,,Terrorists,,,,,,,1,,,,
10,NAIROBI,For The Week Ending 21st May 1953,Nairobi_FCO_141-5791_IMG_5065_1L,2,152/53,,CITY DISTRICT,,Capture,Government,,Civilians,,,,,,,,,,,Unknown
10,NAIROBI,Week ending 21st May 1953,Nairobi_FCO_141-5791_IMG_5066_1L,,,15.5.53,EASTLEIGH SECTION,,Capture,Police,,Rebels,30,,,,,,,30,,,
11,NAIROBI,For The Week Ending 28th May 1953,Nairobi_FCO_141-5791_IMG_5062_1L,2,162/53,27.05.1953,Opposite the D.C.'S OFFICE,,Capture,Government,,Civilian,,,,,,,,,,,1
11,NAIROBI,Week ending 28th May 1953,Nairobi_FCO_141-5791_IMG_5063_1L,,,23.5.53,SECRETARIAT NEW,,Theft,Rebels,,Firearms,,1,,,,,,,,,
11,NAIROBI,Week ending 28th May 1953,Nairobi_FCO_141-5791_IMG_5063_1L,,,23.5.53,SHAURI MOYO,,Screening,Police,,Civilians,,9,,,,,,,,,
11,NAIROBI,Week ending 28th May 1953,Nairobi_FCO_141-5791_IMG_5063_1L,,,25.5.53,GAROFANI,,Contact,Rebels,,KPR,,,,1,,,,,,,
11,NAIROBI,During The Week Ending 28th May 1953,Nairobi_FCO_141-5791_IMG_5063_1L,3,81/53,21.05.1953,BAHATI,,Capture,Government,,Terrorist,,,,,,,1,1,,,
11,NAIROBI,During The Week Ending 28th May 1953,Nairobi_FCO_141-5791_IMG_5063_1L,3,82/53,22.05.1953,BAHATI,,Contact,Government,,Terrorist,,,,,,1,,,,,
11,NAIROBI,During The Week Ending 28th May 1953,Nairobi_FCO_141-5791_IMG_5063_1L,3,83/53,21.05.1953,PUMWANI,,Capture,Police,,Terrorist,,,,,,,,1,,,
11,NAIROBI,During The Week Ending 28th May 1953,Nairobi_FCO_141-5791_IMG_5063_1L,3,85/53,23.05.1953,SECRETARIAT NEW,,Attack,Terrorist,,Civilian,,,,,,,,,,1,
11,NAIROBI,During The Week Ending 28th May 1953,Nairobi_FCO_141-5791_IMG_5063_1L,3,85/53,23.05.1953,SECRETARIAT,,Theft,Terrorist,,Arms,1,1,,,,,,,,,
11,NAIROBI,During The Week Ending 28th May 1953,Nairobi_FCO_141-5791_IMG_5063_1L,3,86/53,23.05.1953,SHAURI MOYO,,Capture,Police,,Terrorist,,,,,,,,10,,,
11,NAIROBI,During The Week Ending 28th May 1953,Nairobi_FCO_141-5791_IMG_5063_1L,3,87/53,25.05.1953,EASTLEIGH,,Contact,Frontier Askari,,Terrorist,,,,,,1,,,,,
11,NAIROBI,During The Week Ending 28th May 1953,Nairobi_FCO_141-5791_IMG_5063_1L,3,88/53,25.05.1953,GAROFANI,,Contact,Terrorist,,KPR Askari,,,,1,,,,,,,
12,NAIROBI,During The Week Ending 4th June 1953,Nairobi_FCO_141-5791_IMG_5059_1L,3,90/53,30.05.1953,DUNDORA,,Contact,"""D"" Force",,Civilian,,,,,,,,,1,,
12,NAIROBI,During The Week Ending 4th June 1953,Nairobi_FCO_141-5791_IMG_5059_1L,3,91/53,30.05.1953,DOONHOLM RD.,,Attack,Gunman,,Terrorist,,,,,,1,,,,,
12,NAIROBI,During The Week Ending 4th June 1953,Nairobi_FCO_141-5791_IMG_5059_1L,3,94/53,30.05.1953,PUMWANI,,Contact,Government,,Terrorist,,,,,,1,,,,,
12,NAIROBI,During The Week Ending 4th June 1953,Nairobi_FCO_141-5791_IMG_5059_1L,3,95/53,31.05.1953,STEREHE,,Attack,Gunman,,Terrorist,,,,,,,1,,,,
12,NAIROBI,During The Week Ending 4th June 1953,Nairobi_FCO_141-5791_IMG_5059_1L,3,97/53,01.06.1953,ATHI RV. ROAD,,Theft,Kikuyus,4,Money,Small Amount,Small Amount,,,,,,,,,
12,NAIROBI,During The Week Ending 4th June 1953,Nairobi_FCO_141-5791_IMG_5059_1L,3,97/53,01.06.1953,ATHI RV. ROAD,,Contact,,,Terrorist,,,1,,,,,,,,
13,NAIROBI,During The Week Ending 11th June 1953,Nairobi_FCO_141-5791_IMG_5056_1L,3,,,NAIROBI,,Capture,Police,,Terrorist,,,,,,,,1,,,
13,NAIROBI,During The Week Ending 11th June 1953,Nairobi_FCO_141-5791_IMG_5056_1L,3,,,PUMWANI,,Capture,Police,,Terrorists,,,,,,,,19,,,
14,NAIROBI,The Week Ending 18th June,Nairobi_FCO_141-5791_IMG_5050_1L,1,199/53,,PUMWANI,,Attack,Terrorist,,Police Informer,1,,,1,,,,,,,
